[2025-12-12 10:24:56] User: huudung, Status: OFF_SCREEN, Duration: 14.77s
[2025-12-12 10:24:57] User: huudung, Status: ON_SCREEN, Duration: 1.03s
[2025-12-12 10:24:59] User: huudung, Status: OFF_SCREEN, Duration: 1.07s
[2025-12-12 10:25:00] User: huudung, Status: ON_SCREEN, Duration: 1.13s
[2025-12-12 10:25:01] User: huudung, Status: OFF_SCREEN, Duration: 1.80s
[2025-12-12 10:25:03] User: huudung, Status: ON_SCREEN, Duration: 1.60s
[2025-12-12 10:25:04] User: huudung, Status: OFF_SCREEN, Duration: 1.00s
[2025-12-12 10:25:23] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:24] User: huudung, Status: ON_SCREEN, Duration: 1.17s
[2025-12-12 10:25:25] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:27] User: huudung, Status: ON_SCREEN, Duration: 1.20s
[2025-12-12 10:25:28] User: huudung, Status: OFF_SCREEN, Duration: 1.37s
[2025-12-12 10:25:29] User: huudung, Status: ON_SCREEN, Duration: 1.03s
[2025-12-12 10:25:30] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:32] User: huudung, Status: ON_SCREEN, Duration: 1.67s
[2025-12-12 10:25:33] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:42] User: huudung, Status: ON_SCREEN, Duration: 9.36s
[2025-12-12 10:25:44] User: huudung, Status: OFF_SCREEN, Duration: 2.23s
[2025-12-12 10:25:49] User: huudung, Status: ON_SCREEN, Duration: 4.17s
[2025-12-12 10:25:50] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:51] User: huudung, Status: ON_SCREEN, Duration: 1.10s
[2025-12-12 10:25:53] User: huudung, Status: OFF_SCREEN, Duration: 2.66s
[2025-12-12 10:25:55] User: huudung, Status: ON_SCREEN, Duration: 1.37s
[2025-12-12 10:25:56] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:57] User: huudung, Status: ON_SCREEN, Duration: 1.20s
[2025-12-12 10:25:58] User: huudung, Status: OFF_SCREEN, Duration: 1.03s
[2025-12-12 10:25:59] User: huudung, Status: ON_SCREEN, Duration: 1.07s
